Unnamed: 0,text,title,LLAMA2_title1,LLAMA2_title1_without_trim,LLAMA2_without_finetunning,LLAMA2_without_finetunning_without_trim
0,"Mohandas Karamchand Gandhi[4][5] was born on 2 October 1869[6] into a Gujarati Hindu Modh Bania family[7][8] in Porbandar (also known as Sudamapuri), a coastal town on the Kathiawar Peninsula and then part of the small princely state of Porbandar in the Kathiawar Agency of the British Raj. His father, Karamchand Uttamchand Gandhi (1822–1885), served as the dewan (chief minister) of Porbandar state.[9][10] His family originated from the then village of Kutiana in what was then Junagadh State.[11]
Although he only had an elementary education and had previously been a clerk in the state administration, Karamchand proved a capable chief minister.[12] During his tenure, he married four times. His first two wives died young, after each had given birth to a daughter, and his third marriage was childless. In 1857, he sought his third wife's permission to remarry; that year, he married Putlibai (1844–1891), who also came from Junagadh,[12] and was from a Pranami Vaishnava family.[13] Karamchand and Putlibai had three children over the ensuing decade: a son, Laxmidas (c. 1860–1914); a daughter, Raliatbehn (1862–1960); and another son, Karsandas (c. 1866–1913).[14][15]
On 2 October 1869, Putlibai gave birth to her last child, Mohandas, in a dark, windowless ground-floor room of the Gandhi family residence in Porbandar city. As a child, Gandhi was described by his sister Raliat as ""restless as mercury, either playing or roaming about. One of his favourite pastimes was twisting dogs' ears.""[16] The Indian classics, especially the stories of Shravana and king Harishchandra, had a great impact on Gandhi in his childhood. In his autobiography, he states that they left an indelible impression on his mind. He writes: ""It haunted me and I must have acted Harishchandra to myself times without number."" Gandhi's early self-identification with truth and love as supreme values is traceable to these epic characters.[17][18]
The family's religious background was eclectic. Gandhi's father Karamchand was Hindu and his mother Putlibai was from a Pranami Vaishnava Hindu family.[19][20] Gandhi's father was of Modh Baniya caste in the varna of Vaishya.[21] His mother came from the medieval Krishna bhakti-based Pranami tradition, whose religious texts include the Bhagavad Gita, the Bhagavata Purana, and a collection of 14 texts with teachings that the tradition believes to include the essence of the Vedas, the Quran and the Bible.[20][22] Gandhi was deeply influenced by his mother, an extremely pious lady who ""would not think of taking her meals without her daily prayers... she would take the hardest vows and keep them without flinching. To keep two or three consecutive fasts was nothing to her.""[23]
In 1874, Gandhi's father Karamchand left Porbandar for the smaller state of Rajkot, where he became a counsellor to its ruler, the Thakur Sahib; though Rajkot was a less prestigious state than Porbandar, the British regional political agency was located there, which gave the state's diwan a measure of security.[24] In 1876, Karamchand became diwan of Rajkot and was succeeded as diwan of Porbandar by his brother Tulsidas. His family then rejoined him in Rajkot.[25]
At age 9, Gandhi entered the local school in Rajkot, near his home. There, he studied the rudiments of arithmetic, history, the Gujarati language and geography.[25] At the age of 11, he joined the High School in Rajkot, Alfred High School.[27] He was an average student, won some prizes, but was a shy and tongue tied student, with no interest in games; his only companions were books and school lessons.[28]
In May 1883, the 13-year-old Mohandas was married to 14-year-old Kasturbai Makhanji Kapadia (her first name was usually shortened to ""Kasturba"", and affectionately to ""Ba"") in an arranged marriage, according to the custom of the region at that time.[29] In the process, he lost a year at school but was later allowed to make up by accelerating his studies.[30] His wedding was a joint event, where his brother and cousin were also married. Recalling the day of their marriage, he once said, ""As we didn't know much about marriage, for us it meant only wearing new clothes, eating sweets and playing with relatives."" As was the prevailing tradition, the adolescent bride was to spend much time at her parents' house, and away from her husband.[31]
Writing many years later, Mohandas described with regret the lustful feelings he felt for his young bride: ""even at school I used to think of her, and the thought of nightfall and our subsequent meeting was ever haunting me."" He later recalled feeling jealous and possessive of her, such as when she would visit a temple with her girlfriends, and being sexually lustful in his feelings for her.[32]
In late 1885, Gandhi's father Karamchand died.[33] Gandhi, then 16 years old, and his wife of age 17 had their first baby, who survived only a few days. The two deaths anguished Gandhi.[33] The Gandhi couple had four more children, all sons: Harilal, born in 1888; Manilal, born in 1892; Ramdas, born in 1897; and Devdas, born in 1900.[29]
In November 1887, the 18-year-old Gandhi graduated from high school in Ahmedabad.[34] In January 1888, he enrolled at Samaldas College in Bhavnagar State, then the sole degree-granting institution of higher education in the region. However, he dropped out, and returned to his family in Porbandar.[35]
",Early_life_and_background, Mohandas Gandhi A Life of Nonviolent Resistance, Mohandas Gandhi: A Life of Nonviolent Resistance, Mohandas Gandhi A Life of Nonviolent Resistance, Mohandas Gandhi: A Life of Nonviolent Resistance
1,"Gandhi had dropped out of the cheapest college he could afford in Bombay.[36] Mavji Dave Joshiji, a Brahmin priest and family friend, advised Gandhi and his family that he should consider law studies in London.[37][38] In July 1888, his wife Kasturba gave birth to their first surviving son, Harilal.[39] His mother was not comfortable about Gandhi leaving his wife and family, and going so far from home. Gandhi's uncle Tulsidas also tried to dissuade his nephew. Gandhi wanted to go. To persuade his wife and mother, Gandhi made a vow in front of his mother that he would abstain from meat, alcohol and women. Gandhi's brother Laxmidas, who was already a lawyer, cheered Gandhi's London studies plan and offered to support him. Putlibai gave Gandhi her permission and blessing.[35][40]
On 10 August 1888, Gandhi aged 18, left Porbandar for Mumbai, then known as Bombay. Upon arrival, he stayed with the local Modh Bania community whose elders warned him that England would tempt him to compromise his religion, and eat and drink in Western ways. Despite Gandhi informing them of his promise to his mother and her blessings, he was excommunicated from his caste. Gandhi ignored this, and on 4 September, he sailed from Bombay to London, with his brother seeing him off.[39][36] Gandhi attended University College, London, where he took classes in English literature with Henry Morley in 1888–1889.[41]
He also enrolled at the Inns of Court School of Law in Inner Temple with the intention of becoming a barrister.[42] His childhood shyness and self-withdrawal had continued through his teens. He retained these traits when he arrived in London, but joined a public speaking practice group and overcame his shyness sufficiently to practise law.[43]
He demonstrated a keen interest in the welfare of London's impoverished dockland communities. In 1889, a bitter trade dispute broke out in London, with dockers striking for better pay and conditions, and seamen, shipbuilders, factory girls and other joining the strike in solidarity. The strikers were successful, in part due to the mediation of Cardinal Manning, leading Gandhi and an Indian friend to make a point of visiting the cardinal and thanking him for his work.[44]
",Student_of_law, Mahatma Gandhis Journey to London A Quest for Knowledge and Self-Discovery, Mahatma Gandhi's Journey to London: A Quest for Knowledge and Self-Discovery, Mahatma Gandhis Journey to London A Quest for Knowledge and Self-Discovery, Mahatma Gandhi's Journey to London: A Quest for Knowledge and Self-Discovery
2,"Gandhi's time in London was influenced by the vow he had made to his mother. He tried to adopt ""English"" customs, including taking dancing lessons. However, he did not appreciate the bland vegetarian food offered by his landlady and was frequently hungry until he found one of London's few vegetarian restaurants. Influenced by Henry Salt's writing, he joined the London Vegetarian Society, and was elected to its executive committee[45] under the aegis of its president and benefactor Arnold Hills. An achievement while on the committee was the establishment of a Bayswater chapter.[46] Some of the vegetarians he met were members of the Theosophical Society, which had been founded in 1875 to further universal brotherhood, and which was devoted to the study of Buddhist and Hindu literature. They encouraged Gandhi to join them in reading the Bhagavad Gita both in translation as well as in the original.[45]
Gandhi had a friendly and productive relationship with Hills, but the two men took a different view on the continued LVS membership of fellow committee member Thomas Allinson. Their disagreement is the first known example of Gandhi challenging authority, despite his shyness and temperamental disinclination towards confrontation.
Allinson had been promoting newly available birth control methods, but Hills disapproved of these, believing they undermined public morality. He believed vegetarianism to be a moral movement and that Allinson should therefore no longer remain a member of the LVS. Gandhi shared Hills' views on the dangers of birth control, but defended Allinson's right to differ.[47] It would have been hard for Gandhi to challenge Hills; Hills was 12 years his senior and unlike Gandhi, highly eloquent. He bankrolled the LVS and was a captain of industry with his Thames Ironworks company employing more than 6,000 people in the East End of London. He was also a highly accomplished sportsman who later founded the football club West Ham United. In his 1927 An Autobiography, Vol. I, Gandhi wrote:
 The question deeply interested me...I had a high regard for Mr. Hills and his generosity. But I thought it was quite improper to exclude a man from a vegetarian society simply because he refused to regard puritan morals as one of the objects of the society[47]A motion to remove Allinson was raised, and was debated and voted on by the committee. Gandhi's shyness was an obstacle to his defence of Allinson at the committee meeting. He wrote his views down on paper but shyness prevented him from reading out his arguments, so Hills, the President, asked another committee member to read them out for him. Although some other members of the committee agreed with Gandhi, the vote was lost and Allinson excluded. There were no hard feelings, with Hills proposing the toast at the LVS farewell dinner in honour of Gandhi's return to India.[48]
",Vegetarianism_and_committee_work, Gandhis Conundrum A Clash of Morals and Authority in London, Gandhi's Conundrum: A Clash of Morals and Authority in London, Gandhis Conundrum A Clash of Morals and Authority in London, Gandhi's Conundrum: A Clash of Morals and Authority in London
3,"Gandhi, at age 22, was called to the bar in June 1891 and then left London for India, where he learned that his mother had died while he was in London and that his family had kept the news from him.[45] His attempts at establishing a law practice in Bombay failed because he was psychologically unable to cross-examine witnesses. He returned to Rajkot to make a modest living drafting petitions for litigants, but he was forced to stop when he ran afoul of a British officer Sam Sunny.[46][45]
In 1893, a Muslim merchant in Kathiawar named Dada Abdullah contacted Gandhi. Abdullah owned a large successful shipping business in South Africa. His distant cousin in Johannesburg needed a lawyer, and they preferred someone with Kathiawari heritage. Gandhi inquired about his pay for the work. They offered a total salary of £105 (~$17,200 in 2019 money) plus travel expenses. He accepted it, knowing that it would be at least a one-year commitment in the Colony of Natal, South Africa, also a part of the British Empire.[46][49]
",Called_to_the_bar, Gandhis Journey to South Africa From Lawyer to Civil Rights Activist,"

Gandhi's Journey to South Africa: From Lawyer to Civil Rights Activist", Gandhis Journey to South Africa From Lawyer to Civil Rights Activist,"

Gandhi's Journey to South Africa: From Lawyer to Civil Rights Activist"
4,"In April 1893, Gandhi aged 23, set sail for South Africa to be the lawyer for Abdullah's cousin.[49][50] He spent 21 years in South Africa, where he developed his political views, ethics and politics.[51][52]
Immediately upon arriving in South Africa, Gandhi faced discrimination because of his skin colour and heritage. [53] He was not allowed to sit with European passengers in the stagecoach and told to sit on the floor near the driver, then beaten when he refused; elsewhere he was kicked into a gutter for daring to walk near a house, in another instance thrown off a train at Pietermaritzburg after refusing to leave the first-class.[36][54] He sat in the train station, shivering all night and pondering if he should return to India or protest for his rights.[54] He chose to protest and was allowed to board the train the next day.[55] In another incident, the magistrate of a Durban court ordered Gandhi to remove his turban, which he refused to do.[36] Indians were not allowed to walk on public footpaths in South Africa. Gandhi was kicked by a police officer out of the footpath onto the street without warning.[36]
When Gandhi arrived in South Africa, according to Herman, he thought of himself as ""a Briton first, and an Indian second"".[56] However, the prejudice against him and his fellow Indians from British people that Gandhi experienced and observed deeply bothered him. He found it humiliating, struggling to understand how some people can feel honour or superiority or pleasure in such inhumane practices.[54] Gandhi began to question his people's standing in the British Empire.[57]
The Abdullah case that had brought him to South Africa concluded in May 1894, and the Indian community organised a farewell party for Gandhi as he prepared to return to India.[58] However, a new Natal government discriminatory proposal led to Gandhi extending his original period of stay in South Africa. He planned to assist Indians in opposing a bill to deny them the right to vote, a right then proposed to be an exclusive European right. He asked Joseph Chamberlain, the British Colonial Secretary, to reconsider his position on this bill.[51] Though unable to halt the bill's passage, his campaign was successful in drawing attention to the grievances of Indians in South Africa. He helped found the Natal Indian Congress in 1894,[46][55] and through this organisation, he moulded the Indian community of South Africa into a unified political force. In January 1897, when Gandhi landed in Durban, a mob of white settlers attacked him[59] and he escaped only through the efforts of the wife of the police superintendent. However, he refused to press charges against any member of the mob.[46]
During the Boer War, Gandhi volunteered in 1900 to form a group of stretcher-bearers as the Natal Indian Ambulance Corps. According to Arthur Herman, Gandhi wanted to disprove the British colonial stereotype that Hindus were not fit for ""manly"" activities involving danger and exertion, unlike the Muslim ""martial races"".[60] Gandhi raised eleven hundred Indian volunteers, to support British combat troops against the Boers. They were trained and medically certified to serve on the front lines. They were auxiliaries at the Battle of Colenso to a White volunteer ambulance corps. At the battle of Spion Kop Gandhi and his bearers moved to the front line and had to carry wounded soldiers for miles to a field hospital because the terrain was too rough for the ambulances. Gandhi and thirty-seven other Indians received the Queen's South Africa Medal.[61][62]
In 1906, the Transvaal government promulgated a new Act compelling registration of the colony's Indian and Chinese populations. At a mass protest meeting held in Johannesburg on 11 September that year, Gandhi adopted his still evolving methodology of Satyagraha (devotion to the truth), or nonviolent protest, for the first time.[63] According to Anthony Parel, Gandhi was also influenced by the Tamil moral text Tirukkuṛaḷ after Leo Tolstoy mentioned it in their correspondence that began with ""A Letter to a Hindu"".[64][65] Gandhi urged Indians to defy the new law and to suffer the punishments for doing so. Gandhi's ideas of protests, persuasion skills and public relations had emerged. He took these back to India in 1915.[66][67]
",Civil_rights_activist_in_South_Africa_(1893–1914), Mahatma Gandhis Early Life in South Africa, Mahatma Gandhi's Early Life in South Africa, Mahatma Gandhis Early Life in South Africa, Mahatma Gandhi's Early Life in South Africa
5,"Gandhi focused his attention on Indians and Africans while he was in South Africa. He initially was not interested in politics. This changed, however, after he was discriminated against and bullied, such as by being thrown out of a train coach because of his skin colour by a white train official. After several such incidents with Whites in South Africa, Gandhi's thinking and focus changed, and he felt he must resist this and fight for rights. He entered politics by forming the Natal Indian Congress.[68] According to Ashwin Desai and Goolam Vahed, Gandhi's views on racism are contentious in some cases, but that changed afterward.[further explanation needed] Gandhi suffered persecution from the beginning in South Africa. Like with other coloured people, white officials denied him his rights, and the press and those in the streets bullied and called him a ""parasite"", ""semi-barbarous"", ""canker"", ""squalid coolie"", ""yellow man"", and other epithets. People would spit on him as an expression of racial hate.[69]
While in South Africa, Gandhi focused on the racial persecution of Indians before he started to focus on racism against Africans. In some cases, state Desai and Vahed, his behaviour was one of being a willing part of racial stereotyping and African exploitation.[69] During a speech in September 1896, Gandhi complained that the whites in the British colony of South Africa were ""degrading the Indian to the level of a raw Kaffir"".[70] Scholars cite it as an example of evidence that Gandhi at that time thought of Indians and black South Africans differently.[69] As another example given by Herman, Gandhi, at age 24, prepared a legal brief for the Natal Assembly in 1895, seeking voting rights for Indians. Gandhi cited race history and European Orientalists' opinions that ""Anglo-Saxons and Indians are sprung from the same Aryan stock or rather the Indo-European peoples"", and argued that Indians should not be grouped with the Africans.[58]
Years later, Gandhi and his colleagues served and helped Africans as nurses and by opposing racism. The Nobel Peace Prize winner Nelson Mandela is among admirers of Gandhi's efforts to fight against racism in Africa.[71] The general image of Gandhi, state Desai and Vahed, has been reinvented since his assassination as if he was always a saint when in reality his life was more complex, contained inconvenient truths and was one that changed over time.[69] Scholars have also pointed the evidence to a rich history of co-operation and efforts by Gandhi and Indian people with nonwhite South Africans against persecution of Africans and the Apartheid.[72]
In 1906, when the Bambatha Rebellion broke out in the colony of Natal, then 36-year-old Gandhi, despite sympathising with the Zulu rebels encouraged Indian South Africans to form a volunteer stretcher-bearer unit.[73] Writing in the Indian Opinion, Gandhi argued that military service would be beneficial to the Indian community and claimed it would give them ""health and happiness.""[74] Gandhi eventually led a volunteer mixed unit of Indian and African stretcher-bearers to treat wounded combatants during the suppression of the rebellion.[73]
The medical unit commanded by Gandhi operated for less than two months before being disbanded.[73] After the suppression of the rebellion, the colonial establishment showed no interest in extending to the Indian community the civil rights granted to white South Africans. This led Gandhi to becoming disillusioned with the Empire and aroused a spiritual awakening with him; historian Arthur L. Herman wrote that his African experience was a part of his great disillusionment with the West, transforming him into an ""uncompromising non-cooperator"".[74]
By 1910, Gandhi's newspaper, Indian Opinion, was covering reports on discrimination against Africans by the colonial regime. Gandhi remarked that the Africans are ""alone are the original inhabitants of the land. … The whites, on the other hand, have occupied the land forcibly and appropriated it to themselves.""[75]
In 1910, Gandhi established, with the help of his friend Hermann Kallenbach, an idealistic community they named Tolstoy Farm near Johannesburg.[76][77] There he nurtured his policy of peaceful resistance.[78]
In the years after black South Africans gained the right to vote in South Africa (1994), Gandhi was proclaimed a national hero with numerous monuments.[79]
","Europeans,_Indians_and_Africans", Mahatma Gandhis Focus on Racial Persecution in South Africa, Mahatma Gandhi's Focus on Racial Persecution in South Africa, Mahatma Gandhis Focus on Racial Persecution in South Africa, Mahatma Gandhi's Focus on Racial Persecution in South Africa
6,"At the request of Gopal Krishna Gokhale, conveyed to him by C. F. Andrews, Gandhi returned to India in 1915. He brought an international reputation as a leading Indian nationalist, theorist and community organiser.
Gandhi joined the Indian National Congress and was introduced to Indian issues, politics and the Indian people primarily by Gokhale. Gokhale was a key leader of the Congress Party best known for his restraint and moderation, and his insistence on working inside the system. Gandhi took Gokhale's liberal approach based on British Whiggish traditions and transformed it to make it look Indian.[80]
Gandhi took leadership of the Congress in 1920 and began escalating demands until on 26 January 1930 the Indian National Congress declared the independence of India. The British did not recognise the declaration but negotiations ensued, with the Congress taking a role in provincial government in the late 1930s. Gandhi and the Congress withdrew their support of the Raj when the Viceroy declared war on Germany in September 1939 without consultation. Tensions escalated until Gandhi demanded immediate independence in 1942 and the British responded by imprisoning him and tens of thousands of Congress leaders. Meanwhile, the Muslim League did co-operate with Britain and moved, against Gandhi's strong opposition, to demands for a totally separate Muslim state of Pakistan. In August 1947 the British partitioned the land with India and Pakistan each achieving independence on terms that Gandhi disapproved.[81]
",Struggle_for_Indian_independence_(1915–1947),,,,
7,"In April 1918, during the latter part of World War I, the Viceroy invited Gandhi to a War Conference in Delhi.[82] Gandhi agreed to actively recruit Indians for the war effort.[83][36] In contrast to the Zulu War of 1906 and the outbreak of World War I in 1914, when he recruited volunteers for the Ambulance Corps, this time Gandhi attempted to recruit combatants. In a June 1918 leaflet entitled ""Appeal for Enlistment"", Gandhi wrote ""To bring about such a state of things we should have the ability to defend ourselves, that is, the ability to bear arms and to use them... If we want to learn the use of arms with the greatest possible despatch, it is our duty to enlist ourselves in the army.""[84] He did, however, stipulate in a letter to the Viceroy's private secretary that he ""personally will not kill or injure anybody, friend or foe.""[85]
Gandhi's war recruitment campaign brought into question his consistency on nonviolence. Gandhi's private secretary noted that ""The question of the consistency between his creed of 'Ahimsa' (nonviolence) and his recruiting campaign was raised not only then but has been discussed ever since.""[83]
",Role_in_World_War_I,,,,
8,"Gandhi's first major achievement came in 1917 with the Champaran agitation in Bihar. The Champaran agitation pitted the local peasantry against largely Anglo-Indian plantation owners who were backed by the local administration. The peasants were forced to grow indigo (Indigofera sp.), a cash crop for Indigo dye whose demand had been declining over two decades, and were forced to sell their crops to the planters at a fixed price. Unhappy with this, the peasantry appealed to Gandhi at his ashram in Ahmedabad. Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities.[86]
",Champaran_agitations,,,,
9,"In 1918, Kheda was hit by floods and famine and the peasantry was demanding relief from taxes. Gandhi moved his headquarters to Nadiad,[87] organising scores of supporters and fresh volunteers from the region, the most notable being Vallabhbhai Patel.[88] Using non-co-operation as a technique, Gandhi initiated a signature campaign where peasants pledged non-payment of revenue even under the threat of confiscation of land. A social boycott of mamlatdars and talatdars (revenue officials within the district) accompanied the agitation. Gandhi worked hard to win public support for the agitation across the country. For five months, the administration refused, but by the end of May 1918, the Government gave way on important provisions and relaxed the conditions of payment of revenue tax until the famine ended. In Kheda, Vallabhbhai Patel represented the farmers in negotiations with the British, who suspended revenue collection and released all the prisoners.[89]
",Kheda_agitations,,,,
